standard_name,measure,tracking_candidates,comprehensive_candidates,baseline_candidates,value_kind,role,status,notes
diabetes,Diabetes,CCT_DIAB_TRF2,DIA_DIAB_COF2,DIA_DIAB_COM,binary,covariate,ready,"Treat 1 and confirmed-prior-wave 11 as yes; 2 as no; dictionary missing codes as null."
hypertension,Hypertension,CCT_HBP_TRF2,CCC_HBP_COF2,CCC_HBP_COM,binary,covariate,ready,"Treat 1 and confirmed-prior-wave 11 as yes; 2 as no."
heart_disease,Heart disease,CCT_HEART_TRF2,CCC_HEART_COF2,CCC_HEART_COM,binary,covariate,ready,"Treat 1 and confirmed-prior-wave 11 as yes; 2 as no."
stroke,Stroke,CCT_CVA_TRF2,CCC_CVA_COF2,CCC_CVA_COM,binary,covariate,ready,"Treat 1 and confirmed-prior-wave 11 as yes; 2 as no."
oa_hand,Osteoarthritis hand,CCT_OAHAND_TRF2,CCC_OAHAND_COF2,CCC_OAHAND_COM,binary,covariate,ready,"Used with hip and knee to derive arthritis_any."
oa_hip,Osteoarthritis hip,CCT_OAHIP_TRF2,CCC_OAHIP_COF2,CCC_OAHIP_COM,binary,covariate,ready,"Used with hand and knee to derive arthritis_any."
oa_knee,Osteoarthritis knee,CCT_OAKNEE_TRF2,CCC_OAKNEE_COF2,CCC_OAKNEE_COM,binary,covariate,ready,"Used with hand and hip to derive arthritis_any."
osteoporosis,Osteoporosis,CCT_OSTPO_TRF2,CCC_OSTPO_COF2,CCC_OSTPO_COM,binary,covariate,ready,"Treat dictionary missing codes as null."
asthma,Asthma,CCT_ASTHM_TRF2,CCC_ASTHM_COF2,CCC_ASTHM_COM,binary,covariate,ready,"Used with COPD to derive asthma_or_copd."
copd,COPD/chronic lung disease,CCT_COPD_TRF2,CCC_COPD_COF2,CCC_COPD_COM,binary,covariate,ready,"Tracking label is broader chronic lung problem."
cancer,Cancer,CCT_CANC_TRF2,CCC_CANC_COF2,CCC_CANC_COM,binary,covariate,ready,"Treat dictionary missing codes as null."
low_back_pain,Low back pain,,OST_BP_COF2,OST_BP_COM,binary,covariate,limited,"Follow-up 2 comprehensive only."
hearing_noise,Hearing difficulty with background noise,HRG_NOIS_TRF2,HRG_NOIS_COF2,HRG_NOIS_COM,binary,covariate,ready,"Kept separately; SAP does not specify an overall hearing composite."
hearing_aid,Hearing aid/equipment use,HRG_AID_TRF2,HRG_AID_COF2,HRG_AID_COM,binary,covariate,ready,"The comprehensive label includes broader equipment/services."
social_outside_household,Social activity - family/friends,SPA_OUTS_TRF2,SPA_OUTS_COF2,SPA_OUTS_COM,categorical,covariate,ready,"Codes 1-2 are at least weekly."
social_religious,Social activity - religious,SPA_CHRCH_TRF2,SPA_CHRCH_COF2,SPA_CHRCH_COM,categorical,covariate,ready,"Codes 1-2 are at least weekly."
social_education_culture,Social activity - education/culture,SPA_EDUC_TRF2,SPA_EDUC_COF2,SPA_EDUC_COM,categorical,covariate,ready,"Codes 1-2 are at least weekly."
social_club,Social activity - club,SPA_CLUB_TRF2,SPA_CLUB_COF2,SPA_CLUB_COM,categorical,covariate,ready,"Codes 1-2 are at least weekly."
social_association,Social activity - association,SPA_NEIBR_TRF2,SPA_NEIBR_COF2,SPA_NEIBR_COM,categorical,covariate,ready,"Codes 1-2 are at least weekly."
social_other,Social activity - other recreation,SPA_OTACT_TRF2,SPA_OTACT_COF2,SPA_OTACT_COM,categorical,covariate,ready,"Codes 1-2 are at least weekly."
adl_class,OARS ADL classification,ADL_DCLS_TRF2,ADL_DCLS_COF2,ADL_DCLS_COM,categorical,covariate,ready,"1 no impairment through 5 total impairment."
self_rated_healthy_aging,Self-rated healthy aging,GEN_OWNAG_TRF2,GEN_OWNAG_COF2,GEN_OWNAG_COM,categorical,outcome,ready,"1 excellent through 5 poor."
analytic_weight,Survey analytic weight,WGHTS_ANALYTIC_TRF2,WGHTS_ANALYTIC_COF2,WGHTS_ANALYTIC_COM,numeric,design,ready,"Use the cohort-specific weight."
sampling_strata,Survey sampling strata,WGHTS_GEOSTRATA_TRF2,WGHTS_GEOSTRATA_COF2,WGHTS_GEOSTRAT_COM,categorical,design,ready,"Follow-up 2 uses GEOSTRATA (plural), correcting the SAP name."
frailty,Frailty,,,,numeric,covariate,definition_required,"The SAP row is blank; select and document a validated CLSA frailty definition before deriving."
epigenetic_age,Epigenetic age,,,,numeric,outcome,external_data_required,"Not present in the supplied Follow-up 2 dictionary or GWAS release; requires methylation data and a specified clock."
